KO	R^2	PearsonCorr	PearsonPval	SpearmanCorr	SpearmanPval	MeanAbsDiff	StdAbsDiff
ko00770	0.8431862753874126	0.9253627765707801	1.4084307087614966e-08	0.7964912280701755	4.490979716030268e-05	0.00011535953134410915	0.00012820087920685389
ko00910	-0.7579053627294032	0.4150402063141759	0.07722726539982631	0.5719298245614035	0.01051075844186233	0.0002677552927154126	0.0004355794830874104
ko01230	-0.23499668675224195	0.8032474856763785	3.454868615706792e-05	0.7947368421052632	4.799963631920996e-05	0.0023317255665546884	0.0017015729520787526
