KO	N47	N54	N62	N67	N68	N74	N80	N82	N85	N91	Z0008	Z0012	Z0014	Z0015	Z0016	Z0023	Z0025	Z0026	Z0029
ko00770	0.0034575615546898523	0.0031511845815269	0.003087708318285633	0.003282943650443671	0.0033725591666675945	0.003765817403054651	0.0035100386574301707	0.003451077970571591	0.003033458397290769	0.0033299384483426665	0.003495408061445137	0.0033461458666487094	0.0036942822403509567	0.0037969078046429542	0.0026069662392754355	0.0037620790596612015	0.004288556945562971	0.0035752960265048542	0.0021880599917108506
ko00910	0.0022236577257545905	0.002299945428068983	0.0028705088042527784	0.0022783203264230864	0.00243485224069923	0.0017942625819623807	0.0020199989641305743	0.0008440707289909705	0.001956980990981936	0.00277972234428642	0.0024299501455037203	0.002535031053459772	0.002976997059304795	0.002259246879432784	0.0026785600820258197	0.0022601109943195846	0.0022849437016269833	0.0029250129256209703	0.001501174461947359
ko01230	0.026312359512194725	0.02384445758196904	0.019264464482048476	0.022383174408144527	0.026259322022196246	0.02462190391129815	0.022317597854426916	0.03018324137108205	0.024537748650541626	0.025724712969127466	0.026280702891617075	0.026167125804571843	0.028925976058454442	0.029361182878612273	0.016691170174434437	0.026054023588780253	0.030461125425769692	0.020883915658606374	0.02097004293834939
